text,label,category
Explain allosteric regulation in the context of cooperative binding using the Monod-Wyman-Changeux (MWC) model. How does the equilibrium between the tense (T) and relaxed (R) states of an oligomeric enzyme shift upon ligand binding?,1,factual
Detail the physical mechanism of baryon acoustic oscillations (BAO) in the early universe. How did the propagation of sound waves in the photon-baryon plasma freeze out at recombination to create a preferred length scale in the distribution of galaxies?,1,factual
Explain the mechanics of Multi-Version Concurrency Control (MVCC) in database systems. How does the use of transaction timestamps and multiple snapshot versions of data prevent read-write lock contention while ensuring strict serializability?,1,factual
Explain the mechanism of stable isotopic fractionation in foraminifera shells. How do the relative ratios of Oxygen-18 to Oxygen-16 in calcium carbonate tests serve as a proxy for historical global ice volume and deep ocean temperatures?,1,factual
"Detail the quantum mechanical mechanism of stimulated emission in lasers. How does a population inversion meta-stable state allow an incoming photon to trigger the coherent emission of a second photon with identical phase, frequency, and direction?",1,factual
"Explain the mechanics of a currency board arrangement, contrasting it with a central bank system. How does the mandatory 100% foreign reserve backing of the domestic currency strictly constrain seigniorage and the ability to act as a lender of last resort?",1,factual
"Explain the evolutionary concept of Muller's ratchet. How does the irreversible accumulation of deleterious mutations in finite asexual populations lead to population decline, and why does genetic recombination in sexual populations halt this process?",1,factual
"Explain how the SHA-3 (Keccak) sponge construction operates. Detail the mechanics of the 'absorb' and 'squeeze' phases, and explain how the internal state permutation provides resistance against length extension attacks.",1,factual
"Detail the mechanism of the hypothalamic-pituitary-adrenal (HPA) axis under chronic stress. How does sustained glucocorticoid exposure lead to the downregulation of glucocorticoid receptors, impairing negative feedback and resulting in allostatic load?",1,factual
"Explain the mechanics of the Penrose process. How can rotational energy be extracted from a Kerr black hole by splitting a particle within the ergosphere, and why does this process not violate the conservation of energy and angular momentum?",1,factual
Explain the thermodynamic and kinetic basis of Ostwald ripening in heterogeneous systems. How does the Gibbs-Thomson effect (curvature-dependent solubility) drive the dissolution of smaller particles and the growth of larger ones to minimize interfacial energy?,1,factual
"Describe the mechanism of action of voltage-gated sodium channels (Nav) during an action potential, detailing the precise conformational changes of the activation gate and the ball-and-chain inactivation gate that dictate the absolute and relative refractory periods.",1,factual
"Explain the mechanism of atmospheric river formation, specifically detailing how the low-level jet interacts with extratropical cyclone cold fronts to concentrate moisture transport into narrow corridors, driving extreme precipitation events.",1,factual
"How does the Aharonov-Bohm effect demonstrate the physical significance of electromagnetic potentials in quantum mechanics, despite the local electric and magnetic fields being zero along the particle's path? Explain the role of the gauge field and the topological considerations related to the vector potential.",1,factual
"Explain the mechanism by which the Linux Completely Fair Scheduler (CFS) approximates an ideal multitasking processor. How does it utilize a red-black tree, virtual runtime (vruntime), and nanosecond granularity to manage process scheduling, and how does this differ fundamentally from traditional time-slice based schedulers?",1,factual
"Describe the detailed molecular mechanism of the sodium-potassium pump (Na+/K+-ATPase) across its complete conformational cycle. How do the phosphorylation and dephosphorylation states of the alpha subunit dictate ion affinity changes on the intracellular versus extracellular sides, and how does it maintain the electrochemical gradient?",1,factual
"In the context of Elliptic Curve Cryptography (ECC), explain the mathematical mechanics of the Elliptic Curve Diffie-Hellman (ECDH) key exchange. Why is the discrete logarithm problem on a finite cyclic group of points on an elliptic curve considered significantly harder to solve than the standard discrete logarithm problem over a finite field of similar size?",1,factual
"Explain the thermodynamic definition of Gibbs free energy and its differential form. How does the chemical potential relate to Gibbs free energy in a multi-component system, and why is this relationship essential for predicting phase equilibrium and the direction of spontaneous chemical reactions under constant temperature and pressure?",1,factual
"Describe the molecular mechanics of long-term potentiation (LTP) in the hippocampal CA1 region, specifically focusing on the NMDA receptor's role as a coincidence detector. How does the voltage-dependent magnesium block removal, subsequent calcium influx, and the autophosphorylation of CaMKII lead to the insertion of AMPA receptors?",1,factual
"How does the Penrose process extract rotational energy from a Kerr black hole? Detail the mechanics of a particle splitting into two inside the ergosphere, the constraints on their resulting trajectories relative to the event horizon and negative energy orbits, and how the conservation of four-momentum applies in this spacetime.",1,factual
"Explain the phenomenon of the shape memory effect in Nitinol (NiTi) at the crystalline phase level. How do the martensitic and austenitic phases differ in their crystal structures, and how do the mechanisms of twinning and detwinning allow for reversible deformation under specific thermal conditions?",1,factual
"How does the Viterbi algorithm decode a convolutional code to find the maximum likelihood sequence? Explain how the trellis diagram represents state transitions, the role of branch metrics, and how the survivor path is efficiently maintained to avoid exponential complexity growth over time.",1,factual
"Explain the mechanism of a Grubbs catalyst in olefin metathesis. How does the [2+2] cycloaddition between the metal carbene and the alkene form a metallacyclobutane intermediate, and how do the subsequent cycloreversion and phosphine dissociation steps drive the formation of the new alkene products?",1,factual
"Explain the exact mechanics of the Paxos consensus algorithm, specifically detailing the roles of the Proposer, Acceptor, and Learner. How does the two-phase prepare/promise and accept/accepted mechanism guarantee safety (never choosing conflicting values) even in the presence of asynchronous networks and fault-prone nodes?",1,factual
"Explain the molecular mechanism of CRISPR-Cas9 gene editing, specifically detailing the roles of the crRNA, tracrRNA, and the HNH and RuvC nuclease domains. How does the PAM sequence recognition prevent self-targeting of the CRISPR locus, and how do the non-homologous end joining (NHEJ) and homology-directed repair (HDR) pathways determine the final genomic edit?",1,factual
How does a Proportional-Integral-Derivative (PID) controller mathematically eliminate steady-state error in a closed-loop control system? Contrast the frequency-domain effects of the integral term (adding a pole at the origin) and the derivative term (adding a zero at the origin) on the system's phase margin and overall stability.,1,factual
"Describe the physics of electron degeneracy pressure in white dwarf stars. How does the Pauli Exclusion Principle generate this pressure, and why does the Chandrasekhar limit represent a strict upper bound on a white dwarf's mass before electron degeneracy fails and gravitational collapse to a neutron star or Type Ia supernovae occurs?",1,factual
"Explain the principles of Optimality Theory in phonology. How do the constraints (markedness and faithfulness) interact through strict domination, and how does the Eval algorithm select the optimal surface candidate from an infinite input candidate set without violating higher-ranked constraints?",1,factual
"How does the SHA-3 (Keccak) sponge construction work? Explain the distinction between the absorbing phase and the squeezing phase, the role of the permutation function applied to the state array, and why this construction inherently prevents length extension attacks that affect SHA-2 hash functions.",1,factual
"Explain the Reynolds number and its physical significance in transitioning from laminar to turbulent flow. At a high Reynolds number, how do inertial forces dominate viscous forces, and what are the resulting implications for boundary layer separation and pressure drag around an airfoil at a high angle of attack?",1,factual
"Explain the mathematics behind Support Vector Machines (SVM) and the kernel trick. How does the dual formulation of the optimization problem allow the inner product of input vectors to be replaced by a kernel function, enabling non-linear classification without explicitly computing the high-dimensional feature space?",1,factual
"Explain the Coriolis effect's role in the formation of large-scale atmospheric phenomena, such as hurricanes. How does the conservation of angular momentum dictate that a mass of air moving towards a pole increases its absolute velocity, and how does this translate to apparent deflection relative to the rotating Earth frame?",1,factual
"Detail the mechanism of heterogeneous catalysis on a transition metal surface, such as the Haber-Bosch process for ammonia synthesis. How do the adsorption of nitrogen and hydrogen, the dissociation into atomic species, surface diffusion, and subsequent step-wise reaction lead to ammonia formation and desorption?",1,factual
"Explain the mechanics of branch prediction in modern out-of-order superscalar processors. How does a two-level adaptive branch predictor (using a Pattern History Table and Branch History Register) correlate global branch history to predict the outcome of a specific branch, and why does this reduce pipeline stalls?",1,factual
"Explain the detailed mechanism of action potential propagation along a myelinated axon (saltatory conduction). How do the clustering of voltage-gated sodium channels at the Nodes of Ranvier, the high resistance/low capacitance of the myelin sheath, and local circuit currents interact to increase conduction velocity compared to unmyelinated axons?",1,factual
"Describe how Grover's Search algorithm achieves a quadratic speedup over classical algorithms for unstructured database search. Explain the specific roles of the oracle, the phase inversion of the target state, and the inversion about the mean (diffusion operator) in amplifying the probability amplitude of the target state.",1,factual
"Describe the chemiosmotic theory as it applies to ATP synthesis in the mitochondria. How exactly does the proton gradient across the inner mitochondrial membrane drive the F_oF_1 ATP synthase, detailing the structural conformational changes of the F_1 subunit as protons flow through the F_o rotor?",1,factual
"Explain the Free Energy Principle in the context of predictive processing in the brain. How does the brain minimize variational free energy by updating its internal generative model to match sensory input, and how does this concept mathematically unify perception and action under the framework of active inference?",1,factual
"Explain the phenomenon of superconductivity according to BCS (Bardeen-Cooper-Schrieffer) theory. How do electrons form Cooper pairs by interacting with the lattice phonons, why does this pairing allow them to move without resistance below the critical temperature, and what is the physical significance of the energy gap?",1,factual
"Explain the mechanics of the Black-Scholes-Merton model for pricing European-style options. How do the assumptions of geometric Brownian motion, continuous no-arbitrage hedging, and the construction of a risk-free delta-hedged portfolio lead to the derivation of the Black-Scholes partial differential equation?",1,factual
"Explain the physics of plate tectonics and mantle convection. How do the mechanisms of ridge-push at divergent boundaries and slab-pull at subduction zones drive plate motion, and how do the variations in viscosity and temperature within the Earth's mantle generate the convective cells?",1,factual
"Explain how the Fast Fourier Transform (FFT) algorithm reduces the computational complexity of the Discrete Fourier Transform (DFT) from O(N^2) to O(N log N). Specifically, detail the Cooley-Tukey radix-2 algorithm's use of divide-and-conquer, bit-reversal, and the complex exponential twiddle factors.",1,factual
"Explain the mechanism of V(D)J recombination in generating antibody diversity in the adaptive immune system. Detail the roles of the RAG1/RAG2 enzymes, the recombination signal sequences (RSS), and how the junctional flexibility and P-nucleotide/N-nucleotide additions contribute to the vast repertoire of B-cell receptors.",1,factual
"Maxwell's Demon is a thought experiment that appears to violate the Second Law of Thermodynamics by sorting fast and slow gas molecules into separate chambers, decreasing entropy without expending thermodynamic work. However, modern physics resolves this paradox through information theory. Explain how Landauer's principle resolves the paradox of Maxwell's Demon. In your explanation, detail the thermodynamic cost of erasing a single bit of information, describe the lifecycle of the demon's memory, and demonstrate mathematically why the net entropy change of the universe cannot be negative when the demon's memory is cyclically reset to its initial state. Finally, calculate the minimum energy dissipated (in Joules) by erasing exactly 1 megabyte of information at a system temperature of 300 Kelvin.",1,factual
"In most eukaryotes, pre-mRNA undergoes cis-splicing, where introns are removed from a single primary transcript. However, organisms such as trypanosomes utilize spliced leader (SL) trans-splicing, where a short, capped leader sequence is spliced onto the 5' end of independently transcribed mRNAs. Explain the molecular mechanism of SL trans-splicing, detailing the specific RNA intermediates (such as the branched Y-structure) and the spliceosomal complex involved. Furthermore, analyze the evolutionary and genomic significance of this mechanism for trypanosomes, specifically addressing how it resolves the challenge of polycistronic transcription by maturing polycistronic precursors into monocistronic mRNAs, and how it functionally substitutes for the lack of traditional eukaryotic RNA polymerase II promoter regions upstream of individual genes.",1,factual
"Topological insulators are materials that behave as insulators in their bulk but possess conductive states on their surface or edge. The existence of these surface states is protected by time-reversal symmetry (TRS) and characterized by a topological invariant, such as the Z2 index. Explain the theoretical framework that distinguishes a trivial insulator from a strong topological insulator using the concept of band inversion and the Z2 topological invariant. Detail how strong spin-orbit coupling drives this band inversion at a specific point in the Brillouin zone (e.g., the Γ point in Bi2Se3). Finally, explain the physical mechanism by which an impurity that preserves TRS cannot elastically scatter an electron from a protected surface state, and describe how the Berry phase of π acquired over a closed loop in momentum space mathematically underpins this topological protection.",1,factual
"Sarah buys 3 notebooks at $4 each and 2 pens at $2 each. If she pays with a $20 bill, how much change does she receive?",0,math
"A store sells a shirt for $40. If it is on sale for 25% off, and a 5% sales tax is applied to the discounted price, what is the final cost of the shirt?",0,math
"Tom's monthly salary is $3000. He spends 30% on rent, 20% on groceries, and saves the rest. How much does he save each month?",0,math
"A company had 500 clients in January and gained 20 new clients each month. If this linear trend continues, how many clients will they have in December of the same year?",0,math
"A car travels 150 miles in 3 hours. If it maintains the same speed, how far will it travel in 7 hours?",0,math
"Emily wants to buy a jacket originally priced at $80. It is marked down by 15%, and she has a coupon for an additional $10 off the sale price. How much will she pay before tax?",0,math
A baker uses 2 cups of flour for every 5 cookies. How many cups of flour are needed to make 30 cookies?,0,math
"If a train leaves the station at 2:15 PM and arrives at its destination at 4:45 PM, traveling at an average speed of 60 miles per hour, what is the total distance traveled?",0,math
"In a school, 40% of the 200 students play sports. If 25% of the student-athletes play basketball, how many students play basketball?",0,math
"A library has 12,000 books. If 15% of the books are fiction and 1/3 of the fiction books are science fiction, how many science fiction books are there?",0,math
"A rectangular garden is 10 feet long and 6 feet wide. If a fence is built around it with a gate that is 3 feet wide, how many feet of fencing material is needed?",0,math
"John invests $1,000 in a savings account that pays 5% simple interest per year. How much interest will he earn after 3 years?",0,math
"A factory produces 400 toys per day. If 2% of the toys are defective and discarded, how many good toys are produced in a 5-day work week?",0,math
"A water tank holds 500 liters. If it is filled by a pipe at 10 liters per minute and drained by a leak at 2 liters per minute, how long does it take to fill the tank?",0,math
"Lisa's cell phone plan costs $30 per month plus $0.10 per text message. If she sends 150 messages in one month, what is her total bill?",0,math
"A project requires 4 workers 6 days to complete. Assuming all workers work at the same rate, how many days will it take 3 workers to complete the same project?",0,math
A store buys a chair for $50 and sells it for $80. What is the percentage profit based on the original cost?,0,math
"A runner completes a 10-kilometer race in 50 minutes. At this exact pace, how long would it take her to run a 15-kilometer race?",0,math
"A conference room has 15 tables. Some tables seat 4 people and the rest seat 6 people. If there are 6 tables of 4, what is the maximum seating capacity of the room?",0,math
"A website had 2,000 visitors in January. The number of visitors increases by 10% each month. How many visitors did the website have in March, rounded to the nearest whole number?",0,math
"Mark reads 20 pages of a book on Monday, 25 pages on Tuesday, and 30 pages on Wednesday. If the book is 150 pages long, how many pages does he have left to read?",0,math
A box contains 60 red marbles and 40 blue marbles. What percentage of the marbles are blue?,0,math
"A car's gas tank holds 15 gallons. The car gets 30 miles per gallon. If the tank is currently 20% full, how many miles can the car travel before running out of gas?",0,math
"A pizza is cut into 8 equal slices. If 3/4 of the pizza is eaten, how many slices are left?",0,math
"A salesperson earns a base salary of $2,000 a month plus a 4% commission on all sales. If they sell $50,000 worth of goods in a month, what is their total monthly earnings?",0,math
"A movie theater has 200 seats. If 85% of the seats are sold for a showing, how many seats are empty?",0,math
"A truck carries 5000 pounds of cargo. At a checkpoint, 40% of the cargo is unloaded. How much cargo, in pounds, remains on the truck?",0,math
"A recipe calls for 3 eggs to make 4 servings. If you want to make enough for 12 servings, how many eggs do you need?",0,math
"A town's population is 20,000. If it grows by 8% in one year and then 5% in the next year, what is the population after two years?",0,math
"A store offers a 'Buy 3, get 1 free' deal on shirts priced at $20 each. What is the average cost per shirt if a customer buys 4 shirts using this deal?",0,math
"A store is having a 20% off sale on all items. If a jacket originally costs $85, what is the final price after the discount?",0,math
"Sarah earns $15 per hour and works 35 hours a week. If she saves 20% of her weekly earnings, how much does she save in 4 weeks?",0,math
A car travels at a constant speed of 60 miles per hour. How far will it travel in 2 hours and 45 minutes?,0,math
"Tom buys 3 notebooks at $2.50 each and 2 pens at $1.20 each. If he pays with a $20 bill, how much change will he receive?",0,math
A recipe calls for 2.5 cups of flour to make 10 servings. How many cups of flour are needed to make 24 servings?,0,math
"A company's revenue was $50,000 in January and increased by 10% in February. What was the total revenue for January and February combined?",0,math
"If 4 workers can build a wall in 12 days, how many days will it take 6 workers to build the same wall, assuming they work at the same rate?",0,math
"A rectangular garden is 15 meters long and 8 meters wide. If a fence is built around the perimeter with a gate that is 2 meters wide, how many meters of fencing material is needed?",0,math
"Lisa invests $1,000 in a savings account that pays 5% simple interest per year. How much interest will she earn after 3 years?",0,math
"A movie theater has 120 seats. If 80% of the seats are filled for a showing, how many seats are empty?",0,math
"John reads 30 pages of a book on Monday, 45 pages on Tuesday, and twice the number of pages he read on Monday on Wednesday. If the book has 200 pages, how many pages does he have left to read?",0,math
"A train travels 240 miles in 4 hours. If it maintains the same speed, how long will it take to travel 450 miles?",0,math
"A box contains 15 red marbles, 20 blue marbles, and 25 green marbles. What percentage of the marbles are blue?",0,math
"Michael buys a pair of shoes for $60 and a shirt for $25. The store applies a 15% discount to the total purchase. If the sales tax is 8%, what is the final cost of the items?",0,math
"A water tank is filled at a rate of 2 gallons per minute. If the tank is initially empty and has a capacity of 500 gallons, how long will it take to fill the tank to 80% capacity?",0,math
"A bakery sells 150 loaves of bread per day. If 40% of the loaves are wheat and the rest are white, how many white loaves are sold per day?",0,math
"Emily wants to buy a laptop that costs $1,200. She has already saved $450 and plans to save $75 per week. How many weeks will it take her to save enough money to buy the laptop?",0,math
"A rectangular swimming pool is 10 meters long, 5 meters wide, and 2 meters deep. What is the volume of water in cubic meters when the pool is completely filled?",0,math
"In a class of 40 students, 60% are girls. If 5 more girls join the class, what will be the new percentage of girls in the class?",0,math
"A factory produces 500 widgets per day. Due to a machine upgrade, production increases by 20%. How many widgets will the factory produce in a 5-day work week after the upgrade?",0,math
A store buys a product for $40 and sells it for $60. What is the percentage markup on the selling price?,0,math
"If it takes 3 hours to mow a lawn that is 1000 square feet, how long will it take to mow a lawn that is 2500 square feet at the same rate?",0,math
"David is 4 years older than his sister. If the sum of their ages is 28, how old is David?",0,math
"A car uses 5 gallons of gas to travel 120 miles. At this rate, how many gallons of gas will be needed to travel 300 miles?",0,math
"A pizza is cut into 12 equal slices. If John eats 1/4 of the pizza and Mary eats 1/3 of the pizza, how many slices are left?",0,math
"A project requires 240 hours of work to complete. If 4 people work on it equally, how many hours does each person need to work?",0,math
"An item is originally priced at $80. It is first discounted by 25%, and then an additional 10% discount is applied to the new price. What is the final price of the item?",0,math
"A library has 5,000 books. 1,500 are fiction, 2,000 are non-fiction, and the rest are reference books. What percentage of the books are reference books?",0,math
A farmer harvests 300 apples from his orchard. He sells 40% to a market and gives 15% to his neighbors. How many apples does he have left?,0,math
"If a map has a scale of 1 inch = 15 miles, and two cities are 3.5 inches apart on the map, what is the actual distance in miles between the two cities?",0,math
"A store is having a sale where all items are 25% off. If a jacket originally costs $80, and there's an additional 10% discount for store members, what is the final price a member pays? (Assume the member discount is applied to the already-reduced sale price.)",0,math
A bakery produces 120 loaves of bread per day and operates 6 days a week. Each loaf costs $3 to make and sells for $5. How much profit does the bakery make in 4 weeks?,0,math
"Read the following restaurant review: 'The food was absolutely delicious and the service was incredibly fast! I will definitely be coming back.' Classify the sentiment of this review as positive, negative, or neutral, and provide a one-sentence justification for your choice.",0,sentiment
Analyze this tweet about a new smartphone: 'Battery dies after 3 hours and the screen is already cracked. Worst purchase ever.' What is the sentiment? Justify your answer.,0,sentiment
"Here is a movie review: 'It was an okay film. The acting was fine, but the plot was a bit predictable. I didn't love it or hate it.' Identify the sentiment and explain why.",0,sentiment
"What is the sentiment of the following product feedback? 'The vacuum works great on hardwood floors, but it is way too heavy to carry up the stairs.' Justify your classification.",0,sentiment
Classify the sentiment of this customer service email: 'Thank you for resolving my billing issue so quickly. Your representative was very helpful and polite!' Explain your reasoning.,0,sentiment
Read this book review: 'I couldn't even get past chapter 2. The writing is atrocious and the characters are completely flat.' Label the sentiment and justify your answer.,0,sentiment
"Determine the sentiment of this hotel review: 'The room had a great view of the ocean, but the sheets were stained and the bathroom smelled awful.' Justify your classification.",0,sentiment
"Analyze the following comment about a software update: 'The new interface is much cleaner and easier to navigate. Great job, devs!' What is the sentiment and why?",0,sentiment
"What is the sentiment of this clothing review? 'The dress is beautiful and fits perfectly, but it arrived two weeks later than promised.' Justify your choice.",0,sentiment
"Read this social media post about a concert: 'The band started an hour late, the sound system was terrible, and tickets were overpriced. Total waste of money.' Classify the sentiment and provide a justification.",0,sentiment
"Here is a coffee shop review: 'The latte art was pretty, but the coffee itself was lukewarm and tasted burnt.' Identify the sentiment and explain your answer.",0,sentiment
Classify the sentiment of this app store review: 'This game is so addictive! I play it every day on my commute. Highly recommend.' Justify your classification.,0,sentiment
Determine the sentiment of this airline review: 'Flight was delayed by 5 hours with no communication from staff. Never flying with them again.' What is the sentiment and why?,0,sentiment
Analyze this skincare product review: 'I have been using this moisturizer for a month and my skin has never looked better. It is lightweight and non-greasy.' Label the sentiment and justify your answer.,0,sentiment
"What is the sentiment of the following comment? 'The webinar was informative, but the presenter spoke too fast and the slides were hard to read.' Justify your classification.",0,sentiment
"Read this electronics review: 'The headphones have amazing noise cancellation, but they pinch my ears after 30 minutes of use.' Identify the sentiment and explain why.",0,sentiment
"Classify the sentiment of this gaming console review: 'Loads instantly, graphics are stunning, and the controller feels great in hand. Five stars!' Justify your choice.",0,sentiment
Determine the sentiment of this pet food review: 'My dog will not even touch it. I bought the 10lb bag and had to throw it all away.' What is the sentiment and why?,0,sentiment
"Analyze this car review: 'The engine runs smoothly, but the seats are incredibly uncomfortable on long drives.' Label the sentiment and justify your answer.",0,sentiment
"What is the sentiment of this restaurant review? 'The pizza was cold, the waiter was rude, and they overcharged us for drinks. Terrible experience.' Justify your classification.",0,sentiment
Read this software review: 'The free version is practically useless because of all the ads. I uninstalled it after five minutes.' Identify the sentiment and explain why.,0,sentiment
Classify the sentiment of this book review: 'A masterpiece! The author weaves a captivating story that kept me up reading until 3 AM.' Justify your choice.,0,sentiment
"Determine the sentiment of this hotel comment: 'Check-in was a breeze and the lobby is beautiful, but our room was right next to the noisy elevator.' What is the sentiment and why?",0,sentiment
Analyze this toy review: 'Broke on the first day. The plastic is super cheap and it is definitely not worth the price.' Label the sentiment and justify your answer.,0,sentiment
